,id,title,url,is_paid,price,is_practice_test_course,headline,language
27,2381616,Amazon'da Satış Eğitimi - 30.000 Öğrenci,/course/amazon-fba-baslangic-egitimi/,False,Free,False,Platformdaki En Kapsamlı Amazon FBA Kursu ile E-Ticaret Yaparak Para Kazanın ve Girişimci Olun !..,Turkish
28,1861976,Excel Dizi Formülleri,/course/excel-dizi-formulleri/,False,Free,False,İleri Düzey Excel Fonksiyonlarının Dizi Yöntemleri ile Kullanımı,Turkish
29,1386630,Sıfırdan İngilizce Cümle Yazmayı Öğrenin (A1-A2 Seviye),/course/ingilizce/,False,Free,False,"A1, A2 (Başlangıç) Seviyede İngilizce cümle kurmayı öğrenin",Turkish
30,2545115,C# Öğreniyorum(Sorular ve Cevaplar),/course/csharp-bilgimi-gelistiriyorum-sorular-ve-cevaplar-ile/,False,Free,False,Soru-cevap ve örnek kodlar ile c# bilginizi daha ileri noktaya taşıyınız.,Turkish
31,4463270,YARATICI YAŞAMAK VE EFSANE JAMES WEBB'in FİKİR BULMA TEKNİĞİ,/course/yaratclk-fikir-bulma-sanat/,False,Free,False,1. kısım: Yaratıcı bir insan olarak yaşam sürdürme üzerine. 2.Kısım: Efsane isim James Webb'in fikir üretme tekniği..,Turkish
32,5312196,100 Saatlik A1-A2-B1 Seviye İngillizce Kursumun Tanıtımı,/course/100-saatlik-a1-a2-b1-seviye-kursumun-tantm/,False,Free,False,"100 Saatlik Yoğun İngilizce Kursu: A1, A2 ve B1 Seviyelerinde, 34 Kitap Çevirerek İngilizce Dil Becerilerini Geliştir",Turkish
33,3848044,Lumion'da Mimari Uygulama | Ücretsiz,/course/vray-kalitesinde-lumion-render-almak-2/,False,Free,False,"3ds Max, Lumion, Photoshop ile Kış Sahnesi",Turkish
34,4720702,ORTA-İLERİ SEVİYE İNGİLİZCE KELİMELER!! (B1-B2 Kelimeler),/course/orta-ileri-seviye-ingilizce-kelimeler/,False,Free,False,"İngilizce'nizi Geliştirmeye Çalışırken Yaptığınız En Büyük Hata Ne? Neden Daha Güzel, Daha Akıcı Konuşamıyorsunuz?",Turkish
35,1561436,Python Programlamanın Temelleri,/course/python-programlamann-temelleri/,False,Free,False,Bilgisayar Bilimi Python Programlamanın Temelleri,Turkish
36,5186156,"İngilizce'de Tüm ""Tense""leri (Zamanları) Öğrenin",/course/ingilizcede-tum-tenseleri-zamanlar-ogrenin/,False,Free,False,1 saatte İngilizce'de tüm tenseler özet dersi,Turkish
37,5042976,Yeni Başlayanlar için Canva,/course/canva-egitimiucretsiz-canva-kursu-ile-grafik-tasarm-ogren/,False,Free,False,"Canva, ücretsiz ve kolay kullanımlı grafik tasarım uygulaması",Turkish
38,4724956,Kur'an-ı Kerim ve Tecvid Kursu,/course/ucretsiz-online-kuran-kerim-dersleri-blgc/,False,Free,False,Bu eğitim Kur'an ve Tecvid'in temel konularını kısa sürede öğrenebilmeniz için hazırlanmıştır.,Turkish
39,5504596,Kendini Tanıma Sanatı,/course/kendini-tanma-sanat/,True,₺299.99,False,"Kişisel gelişim , farkındalık , öz saygı ve özgüven",Turkish
40,2546781,Microsoft Excel Kursu,/course/microsoft-excel-kursu/,False,Free,False,"Excel öğrenin, her şeyi hesaplayıp analiz ustası olun!",Turkish
41,3943932,Borsaya Giriş ve Stratejinin Önemi / Bölüm-1,/course/borsaya-giris-ve-stratejinin-onemi-bolum-1/,False,Free,False,Borsada işlem yaparken nelere dikkat etmeliyim?,Turkish
42,4034432,Kripto Paralarda Haber Analizi,/course/kripto-para-haber-analizi/,False,Free,False,"Bitcoin ve Kripto Paralarda Haber Analizi ile Yatırım ve Trade Mantığını Öğrenin, Riskinizi Yönetin",Turkish
43,2813783,Temel Seviye Network Eğitimi | Bilgisayar Ağlarına İlk Adım,/course/temel-seviye-network-egitimi-bilgisayar-aglarna-ilk-adm/,False,Free,False,"Bilgisayar ağlarına, IP, Subnetting gibi kavramlara hakim olmak için atacağınız ilk adım.",Turkish
44,4755664,A-Z™ | Sıfırdan İleri Seviyeye Etsy Ürün Listeleme Eğitimi,/course/sifirdan-ileri-seviyeye-etsy-urun-listeleme-egitimi/,False,Free,False,Etsy ile yurtdışına satış yapmanız için gereken her konuyu öğrenecek ve uzman bir etsy girişimcisi olacaksınız!,Turkish
45,1703882,Algoritma ve Programlama Mantığı Eğitimi,/course/algoritma-ve-programlama-mantg-egitimi/,False,Free,False,Algoritma ve temel programlama,Turkish
46,4808306,İngilizce Kursu A1 Hikaye Çevirisi: Anna ve Dövüşçü,/course/ingilizce-a1-kursu-anna-ve-dovuscu-hikaye-cevirisi/,False,Free,False,"İngilizce, İngilizce Kursu, İngilizce Konuşma, İngilizce Kelime, Sıfırdan İngilizce, İngilizce A1, Hızlı İngilizce",Turkish
47,2606966,Siber Güvenlik -Gökhan Muharremoğlu ile Etik Hacking/Savunma,/course/gokhanmuharremoglu/,False,Free,False,Merkalısına Siber Güvenlik,Turkish
48,5441282,Stresle Başa Çıkma: Kolay ve Uygulanabilir Teknikler,/course/stresle-basa-ckma-kolay-ve-uygulanabilir-teknikler/,False,Free,False,"Stres Yönetimi, Nefes Egzersizi, Gevşeme Egzersizleri, Zaman Yönetimi ve Uyku Hijyeni",Turkish
49,4054432,Uyanış Yolculuğu,/course/uyanis-yolculugu/,False,Free,False,Bilgelerin Uyanış Yolculuğu,Turkish
50,4364804,Hızlandırılmış Microsoft Excel Kursu | Sertifikalı |,/course/pratik-microsoft-excel-kursu-sertifikal-2021/,False,Free,False,Microsoft Excel 2016 Eğitim Kursu,Turkish
51,4177022,Kaggle: Veri Bilimi ve Makine Öğrenimi Topluluğu,/course/kaggle-veri-bilimi-ve-makine-ogrenimi-toplulugu-2021/,False,Free,False,Python & R Programlama Dilleri ile Gerçek Hayat Problemlerini Çözerek Kaggle Sayesinde Veri Biliminde Uzmanlaşın,Turkish
52,4755666,A-Z™ | Sıfırdan İleri Seviyeye Etsy Hesap Açılışı Eğitimi,/course/az-etsy-sifirdan-ileri-seviyeye-hesap-acilisi-egitimi/,False,Free,False,Etsy ile yurtdışına satış yapmanız için gereken hesap açılışını öğrenecek ve uzman bir etsy girişimcisi olacaksınız!,Turkish
53,5485244,Tasarımda Renk Bilgisi | Sertifikalı,/course/tasarmda-renk-bilgisi/,True,₺399.99,False,Işık ve Rengin Tasarımda Kullanımı | CMYK ve RGB | Renk Çarkı,Turkish
54,1609926,Uzmanından Ücretsiz Wordpress Eğitimi,/course/uzmanindan-ucretsiz-wordpress-egitim-seti/,False,Free,False,Artık Herkes Wordpress Kullanabilecek,Turkish
55,5121060,3ds Max ve Lumion ile Kitaplık Modelleme | Ücretsiz,/course/3ds-max-ve-lumion-ile-kitaplk-modelleme-ucretsiz/,False,Free,False,Örnek bir modelleme üzerinden 3ds Max ve Lumion,Turkish
56,4406364,Öğrencinin Staj & İş Arama Rehberi : Kariyere İlk Adım A-Z™,/course/ogrencinin-staj-is-arama-rehberi-kariyere-ilk-adim-a-ztm/,False,Free,False,Web Scraping  İle Kariyer Geliştirme - Hayalinizdeki işi ve stajı bulun!,Turkish
57,3065602,AspNet Core Inversion Of Control(IoC) / Dependency Injection,/course/aspnet-core-inversion-of-control-ioc-dependency-injection/,False,Free,False,Inversion Of control(IoC) nedir ? Dependency Inversion Principle(DIP) nedir ? Dependency Injection nedir ?,Turkish
58,2309986,Sıfırdan İleri Düzeye AutoCAD 2019 Eğitimi,/course/sfrdan-ileri-duzeye-autocad-2019-egitimi/,False,Free,False,Bilgisayar Destekli Tasarım,Turkish
59,4584444,EN ÖNEMLİ İNGİLİZCE KELİMELERİ ÖĞRENİN!! (A1-A2 Kelimeler),/course/en-onemli-ingilizce-kelimeleri/,False,Free,False,İngilizce'yi Öğrenmeye Çalışırken Yaptığınız En Büyük Hata Ne? İngilizce Gramer Mi Daha Önemli İngilizce Kelime Mi?,Turkish
60,3312212,A'dan Z'ye AutoCAD,/course/adan-zye-autocad/,False,Free,False,Öğrenmek isteyenler için fırsat...,Turkish
61,2472912,UNITY ILE 2D & 3D PROFESYONEL SEVİYEDE OYUN GELISTIRIN,/course/unity-ile-2d-3d-profesyonel-seviyede-oyun-gelistirin/,False,Free,False,"Unityde sıfırdan başlayıp profesyonel seviyeye kadar öğreneceksiniz ,bu kursta ek olarak 3d 2d çizim de yapabiliceksiniz",Turkish
62,3895128,Bir TEDx Organizatöründen; Etkili Sunumların Püf Noktaları,/course/tedx-sahnesinde-etkili-bir-konusma-yapmann-puf-noktalar/,False,Free,False,Bir TEDx Organizatöründen; TED ve TEDx Sahnesinde Etkileyici Konuşma Yapmanın Detayları,Turkish
63,2183998,Baştan sona C Programlama eğitimi,/course/bastan-sona-c-programlama-egitimi/,False,Free,False,Hızlı ve Kolay Anlaşılır C kursu,Turkish
64,4489106,OMG Kablo ile Tablet/Telefon Sızma Testleri,/course/omg-kablo-ile-tablet-telefon-sizma-testleri/,False,Free,False,"Bir şarj kablosunun aslında, bir şarj kablosundan daha fazlası olduğunu bu eğitimde görmüş olacaksınız.",Turkish
