id,title,url,is_paid,price,is_practice_test_course,headline,language,name_from_site,rating,category,what_u_learn,description
1122334,A Practical Introduction to Cloud Computing,/course/introduction-cloud-computing/,False,Free,False,Cloud Computing made simple with real world practical examples,English,A Practical Introduction to Cloud Computing,4.5,"IT & Software,Other IT & Software,Cloud Computing","Accurately define what Cloud Computing is and is not
Understand how Cloud Computing differs from traditional IT deployment models
Understand the building blocks of Cloud Computing
Define IaaS, PaaS, SaaS and XaaS and understand how they differ from each other
Understand the IaaS options including virtual machines on shared physical servers, virtual machines on dedicated servers, and dedicated bare-metal servers
Deploy a virtual machine on Amazon Web Services IaaS
Deploy an application on IBM Bluemix PaaS
Give examples of SaaS services they have already signed up for
List the advantages of Cloud Computing over traditional deployment models
Perform a TCO cost comparison between an On Premises or Cloud deployment for a real world IT workload",
3479574,Free CCNA 200-301 Course: Network Fundamentals,/course/free-ccna-200-301-network-fundamentals/,False,Free,False,"Learn about bridges, hubs, switches, routers, firewalls, servers, clients and many other network fundamentals.",English,Free CCNA 200-301 Course: Network Fundamentals,4.6,"IT & Software,IT Certifications,Cisco Certified Network Associate (CCNA)","Why do we use networks?
What is sneakernet?
What are hubs?
What are switches?
How do routers work?
What are port numbers?",
605006,"Start Kali Linux, Ethical Hacking and Penetration Testing!",/course/ethical-hacker/,False,Free,False,"Learn the basics of ethical hacking, penetration testing, web testing and wifi hacking in kali linux!",English,"Start Kali Linux, Ethical Hacking and Penetration Testing!",4.4,"IT & Software,Network & Security,Kali Linux","Step by step instructions for insulation VirtualBox and creating your virtual environment on Windows, Mac, and Linux.
An introduction to attacking networks and breaking passwords.
Tips for remaining anonymous in hacking and penetration testing activities.
A clear understanding of what ethical hacking and penetration testing is.",
584648,Advanced Databases and SQL Querying,/course/advanced-tsql-querying-using-sql-2014/,False,Free,False,Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.,English,Advanced Databases and SQL Querying,4.5,"IT & Software,Other IT & Software,SQL","Write complex TSQL queries.
Know the different TSQL functionalities that exist
Write more efficient TSQL code",
2223252,"Build a Quiz App with HTML, CSS, and JavaScript",/course/build-a-quiz-app-with-html-css-and-javascript/,False,Free,False,"Improve your core development skills by building a Quiz App with HTML, CSS, and JavaScript",English,"Build a Quiz App with HTML, CSS, and JavaScript",4.6,"Development,Web Development,Web Development","ES6 JavaScript features like arrow functions, the spread operator, const and let, and template literal string
how to use the Fetch API to load trivia questions from an API
how to store high scores in Local Storage
how to use Flexbox, Animations, and REM units in CSS
how to create a progress bar from scratch
how to create a spinning loader icon from scratch",
1106668,Microsoft Excel - Improve your skills quickly,/course/microsoft-excel-improve-your-skills-quickly/,False,Free,False,"Pivot Tables, Charts, Sparklines, functions, formulas and more - in just a couple of hours",English,Microsoft Excel - Improve your skills quickly,4.4,"Office Productivity,Microsoft,Excel","Create Tables, PivotTables, PivotCharts and Sparklines
Add Conditional Formatting, Filters - and even use a bit of Visual Basic for Applications
Use SUM, SUMIF, VLOOKUP, OFFSET and INDIRECT functions
Find out what you need to know about Excel to continue your learning.",
1029442,Herbalism :: Essential Herbal Medicine Favorites,/course/home-remedies/,False,Free,False,A brief introduction to great herbal medicine remedies that you can easily make at home.,English,Herbalism :: Essential Herbal Medicine Favorites,4.5,"Health & Fitness,General Health,Herbalism","Know which teas and essential oils to have on hand for first aid situations.
Prepare ginger and garlic recipes for medicine and healing of a variety of ailments.
Make two amazing recipes for colds and flu.
Make an amazing recipe for energy and longevity.",
352440,Agile PM 101 - Learn the Truth About Agile versus Waterfall,/course/learn-the-truth-about-agile-versus-waterfall/,False,Free,False,"Learn to See Agile and Waterfall in a Fresh, New Perspective as Complementary Rather Than Competitive",English,Agile PM 101 - Learn the Truth About Agile versus Waterfall,4.5,"Business,Project Management,Agile","Learn the truth about the relationship of ""Agile"" and ""Waterfall"" and see those two approaches in a new perspective as complementary rather than competitive",
4694082,"Enhance English Vocabulary, Idioms, Improve Speaking (Free)",/course/enhance-english-vocabulary-idioms-improve-speaking-free/,False,Free,False,"Master English Vocabulary, English Idioms, English Phrases, Practice Speaking English with Funny Dialogues.",English,"Enhance English Vocabulary, Idioms, Improve Speaking (Free)",4.5,"Teaching & Academics,Language Learning,English Language","Master difficult English vocabulary (words, idioms, phrases)
Significantly enhance speaking skills
Give your Listening skills a big boost
Learn to answer and ask questions super fast, without thinking",
2843938,Python OOP : Object Oriented Programming in Python,/course/object-oriented-python-programming/,False,Free,False,Python Object Oriented programming OOP advanced / Scripting for projects / automation / interview questions / beginners,English,Python OOP : Object Oriented Programming in Python,4.6,"Development,Programming Languages,Python","Good understanding of Object Oriented features of Python
Object Oriented Python features implementation
Writing Classes and Creation of Objects
Inheritance and Polymorphism with examples
Data hiding, Class variables, Class Methods, Static Methods
Property, MRO, super() with examples",
5289502,Basics of C# and Unity for Complete Beginners - Part 1,/course/free-part1-alexdev/,False,Free,False,Learn How to Make a Simple 2D Game in Unity,English,Basics of C# and Unity for Complete Beginners - Part 1,4.8,"Development,Game Development,C# (programming language)","You will learn basics of game development
You will learn how to code in C# and how to use Unity
You will learn to make simple time-killer
You will learn how easy it is to make video games",
2222856,React JS Frontend Web Development for Beginners,/course/react-tutorial/,False,Free,False,Learn React JS along with Modern JavaScript from absolute scratch. This course is a getting started guide for beginners.,English,React JS Frontend Web Development for Beginners,4.3,"Development,Web Development,React JS","Learn Modern JavaScript
Learn React JS
Learn React Hooks
Learn to work with external API
Learn to make AJAX requests
Build a News App",
2968824,Artificial Neural Network for Regression,/course/linear-regression-with-artificial-neural-network/,False,Free,False,Build an ANN Regression model to predict the electrical energy output of a Combined Cycle Power Plant,English,Artificial Neural Network for Regression,4.6,"Development,Data Science,Neural Networks","How to implement an Artificial Neural Network in Python
How to do Regression
How to use Google Colab",
2222850,Node JS API Development for Beginners,/course/node-js-api-tutorial/,False,Free,False,Learn Node JS API Development from absolute scratch. This course is for complete beginners getting started guide!,English,Node JS API Development for Beginners,4.5,"Development,Web Development,Node.Js","Learn Node JS Fundamentals
Learn Modern JavaScript",
1264544,Introductory Aromatherapy Course For Natural Living,/course/free-aromatherapy-using-essential-oils-in-your-daily-life/,False,Free,False,Aromatherapy-Learn how to use essential oils in your everyday life safely and effectively to make your own products,English,Introductory Aromatherapy Course For Natural Living,4.4,"Health & Fitness,Other Health & Fitness,Aromatherapy","You will know what the essential oils are used for, how to blend them.
You will learn how to make your own insect repellant using aromatherapy essential oils
Using aromatherapy essential oils, you will learn how to make your own muscle pain balm, vapor rub for colds and flus, and much more
You will have a solid understanding of how to use essential oils in your everyday life with confidence and will appreciate the power of these wonderful gifts of nature",
2203632,English Foundation Course 2023: Grammar and Speaking Upgrade,/course/english-grammar-one/,False,Free,False,"Become fluent by improving all your English Skills. Build a strong English foundation in grammar, speaking, and more!",English,English Foundation Course 2023: Grammar and Speaking Upgrade,4.4,"Teaching & Academics,Language Learning,English Language","Learn the most important topics in English and build a strong foundation.
Learn how to use English grammar in real conversation examples.
Improve your speaking, listening, and writing.
Learn to sound like a native English speaker.
Prepare for exams like A1, A2, B1, B2, TOEFL, IELTS, and TOEIC.",
2657572,Free Blender Crash Course!,/course/blender-crash-course/,False,Free,False,Start now to create your 3D Scenes!,English,Free Blender Crash Course!,4.6,"Design,3D & Animation,Blender","Introduction to the Blender Interface
Introduction to Polygonal Modeling
Introduction to Animation
Creating Basic Materials
Creating Basic Lights
Creating a Flying Plane Scene Animation",
1948098,Docker Essentials,/course/docker-essentials/,False,Free,False,"Learn Hands-on Containerization and Orchestration with Docker Ecosystem (Docker, Compose and Swarm)",English,Docker Essentials,4.5,"IT & Software,Network & Security,Docker","In-depth understanding of containers and Docker.
Use Docker on Development and/or Production Environment with help of in-depth labs.
Get clarity of concepts and will be able to avoid common misconceptions regarding containers with hand-crafted quizzes.
Use Docker CLI efficiently
Create custom Docker images using Dockerfiles
Manage your own Docker hub repository along with images
Work with Docker Networks and Storage provisions
Create and Run Multi-container applications using Docker Compose
Manage Docker Swarm Clusters",
2674318,FREE Affiliate Marketing Course for Beginners,/course/free-affiliate-marketing-course-for-beginners/,False,Free,False,The Easiest Way to Make Money With Affiliate Marketing (Download the 5 Step Blueprint),English,FREE Affiliate Marketing Course for Beginners,4.3,"Marketing,Affiliate Marketing,Affiliate Marketing","How to ACTUALLY get started with affiliate marketing
How Affiliate Marketing Can Work for YOU
Setting Up Your Website for Success
Attracting the Right Type of Visitors
Choosing a Niche - This Step is SUPER Important
Start Earning Commissions
What NOBODY Tells You About Making BIG Profits",
